,2PC,,,,,,3PC,,,,,
,LAN,,,WAN,,,LAN,,,WAN,,
Query,ORQ,US,SpeedUp,ORQ,US,SpeedUp,ORQ,US,SpeedUp,ORQ,US,SpeedUp
Aspirin,106.6,91.9,1.2,603.4,392.7,1.5,100,49.8,2,402.5,250.3,1.6
C. Diff,45.4,58.2,0.8,284.7,254,1.1,36.7,31.1,1.2,172,146.4,1.2
Pwd,79.9,63.5,1.3,493.1,299.9,1.6,76,41,1.9,322.7,187.7,1.7
Credit,74.3,48.5,1.5,413.6,190.2,2.2,75.5,26.3,2.9,288,122.3,2.4
Comorbid,136.5,110.8,1.2,782.6,529.4,1.5,127.9,73,1.8,494.7,291.5,1.7
SecQ2,69.2,65.7,1.1,431.5,332.6,1.3,54.8,32.6,1.7,267.7,199.5,1.3
Market,52.9,36.8,1.4,347.9,340.2,1,52.3,23.6,2.2,215.4,268.9,0.8
SYan,84.5,93.7,0.9,499.6,397.4,1.3,62.9,39.3,1.6,311.7,246.8,1.3
Patients,73.2,67.5,1.1,399,258.8,1.5,60,30.6,2,230.5,145.2,1.6