,,,,
,,,,
LAN --- 2^28,,,,
Primitives scaling - GR (sec),,,,
Threads,3PC,2pc,4pc,spdz
1,69.59,105.04,210.50,15512
2,41.95,63.01,113.88,9661.88
4,22.00,35.57,62.13,5320.62
8,13.46,23.04,33.32,3673.83
16,8.99,21.34,28.47,2069.18
32,7.45,14.45,20.89,1760.84
,,,,
,,,,
Primitives scaling - RCA (sec),,,,
Threads,3PC,2pc,4pc,spdz
1,55.73,37.42,105.72,4.54217
2,28.51,21.08,54.77,3.41
4,14.58,10.22,27.31,2.51
8,8.03,5.02,15.21,2.15
16,4.59,3.58,9.08,1.76
32,3.28,2.33,8.25,1.81
,,,,
,,,,
Primitives scaling - PPA (sec),,,,
Threads,3PC,2pc,4pc,spdz
1,186.63,282.75,573.03,
2,111.90,170.58,320.24,
4,55.64,94.35,165.12,
8,34.21,59.99,89.38,
16,21.49,56.82,71.94,
32,17.40,36.26,51.60,
,,,,
,,,,
Primitives scaling - Mul (sec),,,,
Threads,3PC,2pc,4pc,spdz
1,7.32,13.38,26.72,38.18
2,4.62,8.35,15.38,24.85
4,2.87,5.21,8.61,14.13
8,1.79,2.78,4.90,9.96
16,1.52,2.40,3.98,6.35
32,1.51,2.05,3.43,5.49
,,,,
,,,,
Primitives scaling - conv2d (sec),,,,
Threads,3PC,2pc,4pc,spdz
1,137.98,106.92,335.16,1511.26
2,92.00,63.42,206.37,799.71
4,65.74,34.01,133.04,405.98
8,52.62,20.46,96.60,213.63
16,46.92,15.50,80.48,111.42
32,44.96,11.56,74.87,67.19